title,url,author,documentType,sourceName,visualizationType,technology,thumbnail,date
Bullet Charts,http://bl.ocks.org/4061961,Mike Bostock,code viewer,bl.ocks,bullet chart,,https://gist.github.com/mbostock/4061961/raw/thumbnail.png,1/25/2013
Bump Chart with rCharts and Rickshaw,http://ramnathv.github.io/viewer/?5649396,Ramnath Vaidyanathan,standalone visualization,,bump chart,rChart; rickshaw,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%205-25-13%203.41.46%20PM.png,
Calculating quadtree bounding boxes and displaying them in leaflet,http://calvinmetcalf.github.com/k3/,,code library,github page,map,,,
Calendar View,http://bl.ocks.org/4063318,Mike Bostock,code viewer,bl.ocks,calendar,,https://gist.github.com/mbostock/4063318/raw/thumbnail.png,1/4/2013
Calendar View,http://mbostock.github.com/d3/talk/20111018/calendar.html,Mike Bostock,,,calendar,,https://a248.e.akamai.net/camo.github.com/2845e402ae4712a84b85062a70a200a31147e9cc/687474703a2f2f64336a732e6f72672f65782f666c696768742d63616c656e6461722e706e67,
California Population Density,http://bl.ocks.org/mbostock/5562380,Mike Bostock,code viewer,bl.ocks,map; choropleth,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%205-12-13%2010.54.47%20PM.png,
Calkin-Wilf Tree,http://www.jasondavies.com/calkin-wilf-tree/,Jason Davies,,,math,,,
Can people localize sounds with one functional ear?,http://www.neural-code.com/Visualize/monaural.html,Marc van Wanrooij,standalone visualization,,bubble chart,,,
Can't we all get along?,http://bl.ocks.org/sxv/4491174,Sujay Vennam,code viewer,bl.ocks,bubble chart,canvas,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%204-23-13%208.30.58%20PM.png,
Candlestick charts,http://bl.ocks.org/1074045,Aaron Beppu,code viewer,bl.ocks,candlestick chart,,,
Canvas Geometric Zooming,http://bl.ocks.org/3680958,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/3680958/raw/thumbnail.png,10/11/2012
Canvas Semantic Zooming,http://bl.ocks.org/3681006,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/3681006/raw/thumbnail.png,10/11/2012
Canvas Swarm,http://bl.ocks.org/2647922,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/2647922/raw/thumbnail.png,10/11/2012
Canvas with d3 and Underscore,http://exposedata.com/canvas/stacked.html,Kai Chang,code example,,stacked bar chart,canvas,,
Capturing Mousemove,http://bl.ocks.org/4198499,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/4198499/raw/thumbnail.png,12/4/2012
Caravaggio’s Bacco (1597),http://bl.ocks.org/603148,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/603148/raw/thumbnail.png,12/20/2012
Carotid-Kundalini Fractal Explorer,http://ramblings.mcpher.com/Home/excelquirks/d3/partition,Bruce McPherson,,,,,,
Carotid-Kundalini Fractal Explorer,http://www.jasondavies.com/carotid/,Jason Davies,,,math,,,
CartoDB + D3 Bubble Map,http://bl.ocks.org/andrewxhill/4448162,Andrew Hill,standalone visualization,,map; bubble map,CartoDB,http://d3thumbnails.tumblr.com/image/50332088805,
CartoDB makes D3 maps a breeze,http://blog.cartodb.com/post/39680106243/cartodb-makes-d3-maps-a-breeze,CartoDB,blog post,,map,CartoDB,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%205-24-13%209.06.36%20AM.png,
Cartogram.js: Continuous Area Cartograms,http://prag.ma/code/d3-cartogram/,Shawn Allen,,,cartogram,,,
Case-Sensitivity and SVG-in-HTML,http://bl.ocks.org/1322814,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/1322814/raw/thumbnail.png,10/11/2012
Cellular automata,http://bl.ocks.org/583734,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/583734/raw/thumbnail.png,10/11/2012
Cellular automata,http://www.jeromecukier.net/projects/models/ca.html,Jérôme Cukier,,,math,,,
Central Limit Theorem Visualized in D3,http://blog.vctr.me/posts/central-limit-theorem.html,Victor Powell,standalone visualization,,math,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%205-31-13%2010.27.11%20AM.png,
Chained Transitions,http://bl.ocks.org/1125997,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/1125997/raw/thumbnail.png,10/11/2012
Chained Transitions,http://bl.ocks.org/3903818,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/3903818/raw/thumbnail.png,10/16/2012
Changes in Employment and Salary by Industry,http://blog.futureadvisor.com/explore-changes-in-wages-and-employment-across-industries/,Amelia Greenhall,blog post,,scatterplot,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%204-10-13%204.17.10%20PM.png,
Chart Wheel Visualization,http://anilomanwar.github.com/d3jsExperiments/ChartWheel.html,Anil Omanwar,code library,github page,,,,
Chart.io: The Easiest Business Dashboard You'll Ever Use,http://chart.io/,,product,,,,,
Chernoff faces,http://bl.ocks.org/2011590,,code viewer,bl.ocks,chernoff faces,,,
Chernoff faces Fisheye Geodesic grid Hive plot Horizon chart Sankey diagram,https://github.com/d3/d3-plugins,,source code,github code,chernoff faces; fisheye; hive plot; horizon chart; sankey,,,
Chicago Lobbyists,http://www.christophermanning.org/projects/chicago-lobbyists-force-directed-graph-visualization/,Christopher Manning,,,,,,
Chicago Ward Remap Outlines,http://www.christophermanning.org/projects/chicago-ward-remap-outlines/,Christopher Manning,,,,,,
Chord Diagram,http://bl.ocks.org/1046712,Mike Bostock,code viewer,bl.ocks,chord diagram,,,
Chord diagram with Dex,http://www.javainc.com/projects/dex/examples/vis/d3/presidents/presidentPartyChord.html,Patrick Martin,standalone visualization,,chord diagram,dex,,
Chord Diagram: Dependencies Between Classes,http://bl.ocks.org/4062006,Mike Bostock,code viewer,bl.ocks,chord diagram,,https://gist.github.com/mbostock/4062006/raw/thumbnail.png,1/15/2013
Chord diagram: Fade on Hover,http://livecoding.io/3419309,,,,chord diagram,,,
Chord diagram: Updating data,http://exposedata.com/tutorial/chord/latest.html,,,,chord diagram,,,
Chord Layout Transitions,http://fleetinbeing.net/d3e/chord.html,,,,chord diagram,,,
Choropleth,http://bl.ocks.org/4060606,Mike Bostock,code viewer,bl.ocks,choropleth,,https://gist.github.com/mbostock/4060606/raw/thumbnail.png,1/28/2013
Choropleth classification systems,http://gabrielflor.it/,,,,choropleth,,,
Choropleth with interactive parameters for NYC data visualization,http://code.leakingalpha.com/visionyc/,,,,choropleth,,,
Christchurch Earthquakes,http://bl.ocks.org/tnightingale/4710662,Tom Nightingale,code viewer,bl.ocks,map,leaflet,https://gist.github.com/tnightingale/4710662/raw/9258d303282d8c5f5b365e92d2e669e885689c61/thumbnail.png,
christophermanning’s bl.ocks,http://bl.ocks.org/christophermanning,Christopher Manning,collection,bl.ocks,,,,
Chrome Circle Precision Bug,http://bl.ocks.org/3194190,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/3194190/raw/thumbnail.png,10/11/2012
Chrome Circle Precision Bug,http://bl.ocks.org/3201606,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/3201606/raw/thumbnail.png,10/11/2012
Circle Packing,http://bl.ocks.org/4063530,Mike Bostock,code viewer,bl.ocks,floating bubble,,https://gist.github.com/mbostock/4063530/raw/thumbnail.png,1/21/2013
Circle Packing with Zero Values,http://bl.ocks.org/1627378,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/1627378/raw/thumbnail.png,10/11/2012
Circle Packing Zero Values,http://bl.ocks.org/1628131,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/1628131/raw/thumbnail.png,12/20/2012
Circle-Circle Intersection,http://bl.ocks.org/3095037,Mike Bostock,code viewer,bl.ocks,,,,7/11/2012
Circle-Polygon Intersection,http://bl.ocks.org/4218871,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/4218871/raw/thumbnail.png,12/8/2012
Circular heat chart,http://prcweb.co.uk/lab/circularheat/,Peter Cook,plugin,,circular heatmap,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%202-7-13%2010.29.59%20AM.png,
Circular key scale,http://bl.ocks.org/4723857,Julian Burgess,code viewer,bl.ocks,axis,,,
Circular Layout,http://bl.ocks.org/846688,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/846688/raw/thumbnail.png,10/11/2012
Circular Layout (Arc),http://bl.ocks.org/846704,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/846704/raw/thumbnail.png,10/11/2012
Circular Layout (Recursive),http://bl.ocks.org/846710,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/846710/raw/thumbnail.png,10/11/2012
Circular Layout (Slider),http://bl.ocks.org/847677,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/847677/raw/thumbnail.png,10/11/2012
Circular Segment,http://bl.ocks.org/3422480,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/3422480/raw/thumbnail.png,1/28/2013
Circular tree comparing the src directory for three versions of d3,http://bl.ocks.org/4092944,Kai Chang,code viewer,bl.ocks,circular tree,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%202-12-13%2010.46.20%20PM.png,
Clean Up for Natural Earth GeoJSON,http://bl.ocks.org/3682990,Mike Bostock,code viewer,bl.ocks,,,,9/8/2012
click-to-center,http://bl.ocks.org/2206489,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/2206489/raw/thumbnail.png,1/15/2013
click-to-center via transform,http://bl.ocks.org/2206529,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/2206529/raw/thumbnail.png,10/11/2012
click-to-zoom via transform,http://bl.ocks.org/2206590,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/2206590/raw/thumbnail.png,1/23/2013
Click-to-Zoom via Transform,http://bl.ocks.org/3258821,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/3258821/raw/thumbnail.png,10/11/2012
Clickme: Render JavaScript visualizations using R objects,https://github.com/nachocab/clickme,Nacho Caballero,code library,github,,R,,
Clinical trials in Multiple Sclerosis,http://www.mgrafit.com/00-projects/proj01-MSTrials/MStrials.html,Francois Mercier,standalone visualization,,floating bubbles,,,
Close Votes - visualizing voting similarities for the Dutch 2012 national elections,http://tulpinteractive.com/close-votes/,Jan Willem Tulp,,,,,,
Closest Point to Segment,http://bl.ocks.org/4281513,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/4281513/raw/thumbnail.png,12/14/2012
Cluster Dendrogram,http://bl.ocks.org/4063570,Mike Bostock,code viewer,bl.ocks,dendrogram,,https://gist.github.com/mbostock/4063570/raw/thumbnail.png,12/19/2012
Cluster Dendrogram,http://bl.ocks.org/4339607,Mike Bostock,code viewer,bl.ocks,tree,,https://gist.github.com/mbostock/4339607/raw/thumbnail.png,12/19/2012
Clustered Force Layout,http://bl.ocks.org/1747543,Mike Bostock,code viewer,bl.ocks,network,,https://gist.github.com/mbostock/1747543/raw/thumbnail.png,10/11/2012
Clustered Force Layout,http://bl.ocks.org/1748247,Mike Bostock,code viewer,bl.ocks,network,,https://gist.github.com/mbostock/1748247/raw/thumbnail.png,12/20/2012
Co-Authors Chords,http://www.rjbaxley.com/p/publications.html,Bob Baxley,standalone visualization,,chord diagram,,,
CodeFlower Source code visualization,http://redotheweb.com/CodeFlower/,François Zaninotto,tool,,network,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%203-6-13%201.11.55%20AM.png,
Coffee Flavour Wheel,http://www.jasondavies.com/coffee-wheel/,Jason Davies,,,sunburst,,https://a248.e.akamai.net/camo.github.com/3579d11cf675da2a12ffcdad356e524978b97434/687474703a2f2f64336a732e6f72672f65782f636f666665652e706e67,
Collapsible Force Layout,http://bl.ocks.org/1062288,Mike Bostock,code viewer,bl.ocks,network,,https://gist.github.com/mbostock/1062288/raw/thumbnail.png,12/20/2012
Collapsible Force Layout,http://bl.ocks.org/1093130,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/1093130/raw/thumbnail.png,12/20/2012
Collapsible Force Layout,http://mbostock.github.com/d3/talk/20111116/force-collapsible.html,Mike Bostock,,,,,https://a248.e.akamai.net/camo.github.com/0db09ff0930500d88e91b8da11339a13957d1ae3/687474703a2f2f64336a732e6f72672f65782f666f7263652d636f6c6c61707369626c652e706e67,
Collapsible Indented Tree,http://bl.ocks.org/1093025,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/1093025/raw/thumbnail.png,1/22/2013
Collapsible tree,http://bl.ocks.org/1061834,Mike Bostock,code viewer,bl.ocks,tree,,,
Collapsible Tree,http://bl.ocks.org/4339083,Mike Bostock,code viewer,bl.ocks,tree,,https://gist.github.com/mbostock/4339083/raw/thumbnail.png,1/23/2013
Collapsible Tree Layout,http://mbostock.github.com/d3/talk/20111018/tree.html,Mike Bostock,,,tree,,https://a248.e.akamai.net/camo.github.com/edf0bcf9d8898a717b0802fb36f3b24049071db8/687474703a2f2f64336a732e6f72672f65782f747265652d7a6f6f6d2e706e67,
Collapsible tree with labels,http://bl.ocks.org/1249394,,code viewer,bl.ocks,tree,,,
Collatz Graph: All Numbers Lead to One,http://www.jasondavies.com/collatz-graph/,Jason Davies,,,network,,https://a248.e.akamai.net/camo.github.com/7bca10845c6e0caa0abdfbcfb96f293150dfa059/687474703a2f2f64336a732e6f72672f65782f636f6c6c61747a2e706e67,
Collective.js.d3 Integrates D3.js in Plone ,https://pypi.python.org/pypi/collective.js.d3,Eric Brehault,code library,,,python; plone,,
Collider - a d3.js game,http://blog.latentflip.com/post/18195267992/d3-collider,,,,game,,,
Collignon Projection,http://bl.ocks.org/3734316,Mike Bostock,code viewer,bl.ocks,map,,https://gist.github.com/mbostock/3734316/raw/thumbnail.png,12/6/2012
Collision Detection,http://bl.ocks.org/3231298,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/3231298/raw/thumbnail.png,10/11/2012
Collision Detection,http://mbostock.github.com/d3/talk/20111018/collision.html,Mike Bostock,,,,,https://a248.e.akamai.net/camo.github.com/10cd1ae6e48bff935e2d5d365c85fa78d4ee16f4/687474703a2f2f64336a732e6f72672f65782f666f7263652d636f6c6c6973696f6e2e706e67,
Collision Detection (Canvas),http://bl.ocks.org/3231307,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/3231307/raw/thumbnail.png,12/13/2012
Collpase/expand nodes of a tree,http://jsfiddle.net/murray_3/5q62y/8/,,code viewer,jsfiddle,tree,,,
Collusion FireFox Addon,http://collusion.toolness.org/,Atul Varma,,,,,,
Colony - Visualising Javascript projects and their dependencies,http://hughsk.github.com/colony,Hugh Kennedy,code library,github page,,,,
Color scheme sunburst ,http://xliberation.com/parse/colortable/parsed3.html,Bruce McPherson,standalone visualization,,sunburst,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%205-24-13%2011.26.39%20AM.png,
Color via Clipping,http://bl.ocks.org/4062844,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/4062844/raw/thumbnail.png,12/13/2012
Color: a color matching game,http://color.method.ac/,Maria Munuera; Mark MacKay,,,game,,https://a248.e.akamai.net/camo.github.com/69db8f445151b1c87a16061dfe0e534f520ba003/687474703a2f2f64336a732e6f72672f65782f636f6c6f722e706e67,
Combinatorial Necklaces and Bracelets,http://www.jasondavies.com/necklaces/,Jason Davies,,,math,,,
Combining D3 and Ember to Build Interactive Maps,http://www.alexrothenberg.com/2012/05/30/interactive-maps-with-d3-and-ember.html,AlexRothenberg,blog post,,map,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%202-27-13%2010.21.16%20AM.png,
Commented bar chart code,http://enja.org/code/tuts/d3/bar/,Ian Johnson,,,,,,
Comparing the same surveys by different polling organizations (polish),http://bit.ly/US45pL,,,,,,,
Comparison of MS trials baseline characteristics,http://www.mgrafit.com/00-projects/proj02-PCPbaseline/PCPbaseline.html,Francois Mercier,standalone visualization,,parallel coordinates,,http://kwout.com/cutout/m/fj/9g/yjb_w200.jpg,
Complete Graphs,http://www.jasondavies.com/complete-graphs/,Jason Davies,,,network,,,
Composite Map Projection,http://cartography.oregonstate.edu/demos/CompositeMapProjection/,,,,map,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%202-13-13%203.01.51%20PM.png,
Composition of Church Membership by State: 1890,http://vallandingham.me/vis/church_by_state.html,,,,,,,
Concentric Circles Emanating,http://bl.ocks.org/4503672,Mike Bostock,code viewer,bl.ocks,map,,https://gist.github.com/mbostock/4503672/raw/thumbnail.png,1/26/2013
Confidence interval in poll surveys,http://bit.ly/QHVOU0,,,,,,,
Connections in time,http://maxdemarzi.com/2012/03/08/connections-in-time/,Max De Marzi,,,,,,
Constraint relaxation 1,http://bl.ocks.org/4053096,Kai Chang,code viewer,bl.ocks,,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%204-24-13%209.43.33%20AM.png,
Constraint relaxation 2,http://bl.ocks.org/4054247,Kai Chang,code viewer,bl.ocks,,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%204-24-13%209.43.55%20AM.png,
Contour Plot,http://bl.ocks.org/4241134,Mike Bostock,code viewer,bl.ocks,contour plot,,https://gist.github.com/mbostock/4241134/raw/thumbnail.png,12/10/2012
"Converting dynamic SVG to PNG with node.js, d3 and Imagemagick",http://eng.wealthfront.com/2011/12/converting-dynamic-svg-to-png-with.html,Wealthfront,Specific tutorials,,,,,
Convex Hull,http://bl.ocks.org/4341699,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/4341699/raw/thumbnail.png,12/24/2012
Conway's Game of life as a scrolling background (broken link),http://rhokaustin.org/,,,,cellular automaton,,,
Conway's game of life in D3.js,http://www.janwillemtulp.com/2011/03/22/tutorial-conways-game-of-life-in-d3/,Jan Willem Tulp,tutorial,,cellular automaton,,,
Conway's game of life with JS and D3.js,http://bl.ocks.org/2369589,Sylvain Gizard,code viewer,bl.ocks,cellular automaton,,,
Coordinated visualizations for Consumer Packaged Goods,http://theory.info/,,,,,,,
Copper: Wrapper around python packages with D3.js viz,https://github.com/danielfrg/copper,Daniel Rodriguez,code library,,,pandas; scikit-learn; matplotlib,,
Cost of Living - Parallel Coordinates,http://bl.ocks.org/1558011,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/1558011/raw/thumbnail.png,12/9/2012
Costa Rica shaded relief,http://bl.ocks.org/mjhoy/5301594,Michael Hoy,code viewer,bl.ocks,map,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%204-3-13%203.43.35%20PM.png,
County Circles,http://bl.ocks.org/4206975,Mike Bostock,code viewer,bl.ocks,map,,https://gist.github.com/mbostock/4206975/raw/thumbnail.png,12/29/2012
Craig Retroazimuthal,http://bl.ocks.org/4459466,Mike Bostock,code viewer,bl.ocks,map,,https://gist.github.com/mbostock/4459466/raw/thumbnail.png,1/4/2013
Craig Retroazimuthal,http://bl.ocks.org/4459716,Mike Bostock,code viewer,bl.ocks,map,,https://gist.github.com/mbostock/4459716/raw/thumbnail.png,1/4/2013
Craster Parabolic,http://bl.ocks.org/4465118,Mike Bostock,code viewer,bl.ocks,map,,https://gist.github.com/mbostock/4465118/raw/thumbnail.png,1/5/2013
Crayola Colour Chronology,http://www.jasondavies.com/crayola/,Jason Davies,,,,,,
